idx,ssim,psnr,lpips,brightness,color_temp,saturation
205,0.7250473271599261,20.19108731208725,0.10884951800107956,twilight,natural,high
206,0.398980253127416,12.322990341368918,0.5144486427307129,night,cool_artificial,high
207,0.4072445383178111,13.604125172889518,0.24598471820354462,twilight,warm_artificial,medium
208,0.7904773626047801,25.513599176161115,0.05405591428279877,twilight,warm_artificial,high
209,0.6686801877367872,24.009167797037026,0.097071573138237,twilight,warm_artificial,medium
210,0.8224511816785044,28.693516464360265,0.052546802908182144,twilight,warm_artificial,medium
211,0.5308149422650902,23.538008503331326,0.08587005734443665,day,warm_artificial,low
212,0.4427369560536482,14.123608390567181,0.11551643908023834,overexposed,warm_artificial,medium
213,0.6767223087925887,21.23904403804992,0.08202455192804337,twilight,natural,medium
214,0.837053480895996,21.5651603224702,0.1303006410598755,day,natural,low
215,0.32808450163325653,20.027418670556685,0.2895994782447815,night,warm_artificial,high
216,0.558938008245298,20.235135991111957,0.08103478699922562,twilight,natural,medium
217,0.8183211200152841,24.352386521400035,0.05044366791844368,day,warm_artificial,medium
218,0.4970198538769343,16.743809920974286,0.11545079946517944,twilight,cool_artificial,high
219,0.5381308446919184,18.811536386799126,0.1394372135400772,twilight,natural,medium
220,0.7320614367745941,15.247380861594142,0.1044478788971901,twilight,natural,low
221,0.4795861540741921,16.34964966682199,0.19791017472743988,overexposed,natural,medium
222,0.7294053484988995,19.80458548852875,0.0932198017835617,twilight,warm_artificial,medium
223,0.7782197720834757,20.268033872174076,0.06207931041717529,overexposed,warm_artificial,low
224,0.7269520845881998,23.56240674744327,0.08091016113758087,day,warm_artificial,medium
225,0.7720298220460428,13.772064325449731,0.11983808875083923,overexposed,natural,low
226,0.6497198335252211,22.786592981190445,0.07721709460020065,day,warm_artificial,high
227,0.7530553117362232,22.375901512082326,0.06008724123239517,day,cool_artificial,low
228,0.7980652581550937,20.176964923016456,0.10006347298622131,overexposed,warm_artificial,medium
229,0.5663963008825217,20.54484856945965,0.09605952352285385,day,warm_artificial,medium
230,0.44370070864496186,19.295070091099397,0.1334943324327469,night,warm_artificial,high
231,0.2610571527645936,15.792205991004158,0.4002419710159302,twilight,cool_artificial,high
232,0.7582325692821463,23.351607835248096,0.09171664714813232,twilight,warm_artificial,medium
233,0.5677151686834317,15.23745232302619,0.14969909191131592,twilight,warm_artificial,medium
234,0.7135043039479028,21.139399727583665,0.12582531571388245,night,warm_artificial,high
235,0.8112434487616613,15.763581000400894,0.15910685062408447,twilight,natural,low
236,0.624290733455844,20.116197195195248,0.09298411756753922,day,cool_artificial,medium
237,0.8151898320683378,26.488788624810617,0.05432474613189697,twilight,warm_artificial,medium
238,0.6379572107775772,12.83256066561128,0.11708091199398041,overexposed,cool_artificial,medium
239,0.7932414617097109,19.775220272222285,0.06183287873864174,overexposed,cool_artificial,low
240,0.611489981720216,12.050764546779106,0.20253151655197144,overexposed,warm_artificial,low
241,0.8100609052306424,25.55439830790104,0.07458319514989853,overexposed,natural,low
242,0.6435148206295943,17.901578405623642,0.14184604585170746,night,warm_artificial,high
243,0.47003277520905645,18.80837286105043,0.1729038655757904,night,warm_artificial,medium
244,0.8047891596956144,22.41750089765275,0.06040694937109947,day,cool_artificial,medium
245,0.7537991797805734,16.910135688475375,0.15806569159030914,twilight,warm_artificial,high
246,0.7739721959774215,22.7997677681661,0.06183503568172455,twilight,cool_artificial,medium
247,0.5596767378206264,21.24551196721153,0.0852760374546051,overexposed,warm_artificial,low
248,0.5943556462865108,18.049534287672863,0.17320750653743744,twilight,warm_artificial,high
249,0.8397501692823169,26.531275315595405,0.06785043329000473,overexposed,natural,low
250,0.8026272539848485,24.813244717259145,0.0564325787127018,day,cool_artificial,medium
251,0.8144419769732112,22.924895497267094,0.08128858357667923,day,cool_artificial,high
252,0.7685710020818112,20.050657459280554,0.07151038944721222,day,cool_artificial,medium
253,0.8093648821964856,24.174153259748703,0.05268924683332443,twilight,natural,medium
254,0.4203091782123622,16.07467901540494,0.23710483312606812,twilight,natural,medium
255,0.48710131121955663,18.935063634986527,0.256856232881546,night,natural,medium
256,0.7292716274529024,16.285097471370623,0.08509135246276855,overexposed,cool_artificial,medium
257,0.747065173663685,17.056274878540286,0.11864526569843292,overexposed,cool_artificial,medium
258,0.757598303191137,18.88674894522726,0.10527519136667252,day,cool_artificial,high
259,0.5588234855412421,16.610495618214493,0.19857388734817505,night,natural,medium
260,0.6937595291674961,16.192589550642293,0.10111106932163239,day,cool_artificial,medium
261,0.8028352726355297,24.497842086758318,0.11847119778394699,day,cool_artificial,medium
262,0.8439337128791385,25.981451950415618,0.05680543929338455,day,warm_artificial,medium
263,0.6268809651872921,20.54189925310892,0.105197012424469,day,warm_artificial,medium
264,0.493558056793262,18.78632145274583,0.08613427728414536,night,warm_artificial,high
265,0.882220978655281,29.09828413141303,0.04118533432483673,twilight,warm_artificial,medium
266,0.6860829255419919,17.282945672706948,0.13569027185440063,overexposed,cool_artificial,low
267,0.7854460012129296,18.245478859473685,0.11652235686779022,twilight,warm_artificial,medium
268,0.5732730448998472,23.57273598692071,0.12662765383720398,twilight,warm_artificial,high
269,0.587778705098928,20.204029424298074,0.10693174600601196,day,cool_artificial,medium
270,0.5736579295605707,19.84116932679147,0.09380599111318588,overexposed,cool_artificial,medium
